sid,cid,sidsrcname,sidextid,subssynonym,sidmdate,depdate,depcatg,annotation
46508175,6957673,DrugBank,DB00522,bentiromide|Btpaba|DB00522|PFT,20210728,20080117,Curation Efforts|Research and Development,NULL
46508176,60921,DrugBank,DB01347,Saprisartan|DB01347,20200307,20080117,Curation Efforts|Research and Development,NULL
46508177,7245,DrugBank,DB03110,2-CHLOROPHENOL|o-Chlorophenol|2-Chloro-1-hydroxybenzene|DB03110,20200307,20080117,Curation Efforts|Research and Development,NULL
46508178,6032,DrugBank,DB01172,"kanamycin|KANAMYCIN A|DB01172|4,6-Diamino-2-hydroxy-1,3-cyclohexane 3,6'diamino-3,6'-dideoxydi-alpha-D-glucoside|4,6-diamino-2-hydroxy-1,3-cyclohexylene 3,6'-diamino-3,6'-dideoxydi-D-glucopyranoside",20200307,20080117,Curation Efforts|Research and Development,NULL
46508179,135497492,DrugBank,DB04357,PTERIC ACID|DB04357,20210728,20080117,Curation Efforts|Research and Development,NULL
46508180,448841,DrugBank,DB03476,DB03476|TRANS-6-(2-PHENYLCYCLOPROPYL)-NAPHTHALENE-2-CARBOXAMIDINE,20210728,20080117,Curation Efforts|Research and Development,NULL
46508181,2284,DrugBank,DB00181,baclofen|DL-Baclofen|(+-)-Baclofen|beta-(4-Chlorophenyl)gaba|4-Amino-3-(4-chlorophenyl)butyric acid|DL-4-Amino-3-p-chlorophenylbutanoic acid|beta-(Aminomethyl)-4-chlorobenzenepropanoic acid|beta-(p-Chlorophenyl)-gamma-aminobutyric acid|beta-(Aminomethyl)-p-chlorohydrocinnamic acid|gamma-Amino-beta-(p-chlorophenyl)butyric acid|DB00181,20210728,20080117,Curation Efforts|Research and Development,NULL
46508182,18381,DrugBank,DB00485,"dicloxacillin|DB00485|(2S,5R,6R)-6-({[3-(2,6-dichlorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",20200307,20080117,Curation Efforts|Research and Development,NULL
46508183,657073,DrugBank,DB02462,THIOCOUMARIN|DB02462,20200307,20080117,Curation Efforts|Research and Development,NULL
46508184,444389,DrugBank,DB03959,"N,O6-Disulfo-Glucosamine|DB03959",20200307,20080117,Curation Efforts|Research and Development,NULL
46508185,446201,DrugBank,DB02323,EM-1745|DB02323,20200307,20080117,Curation Efforts|Research and Development,NULL
46508186,757,DrugBank,DB03085,glycolic acid|hydroxyacetic acid|2-Hydroxyacetic acid|Glycollic acid|Hydroxyethanoic acid|alpha-Hydroxyacetic acid|2-Hydroxyethanoic acid|DB03085,20200307,20080117,Curation Efforts|Research and Development,NULL
46508187,11291,DrugBank,DB01619,Phenindamine|Thephorin|DB01619,20200307,20080117,Curation Efforts|Research and Development,NULL
46508188,444451,DrugBank,DB03070,SELENAZOLE-4-CARBOXYAMIDE-ADENINE DINUCLEOTIDE|DB03070,20200307,20080117,Curation Efforts|Research and Development,NULL
46508189,448219,DrugBank,DB02408,"(3S)-3-AMINO-1-(CYCLOPROPYLAMINO)HEPTANE-2,2-DIOL|DB02408",20200307,20080117,Curation Efforts|Research and Development,NULL
46508190,7028,DrugBank,DB00852,"PSEUDOEPHEDRINE|Isoephedrine|d-Pseudoephedrine|trans-Ephedrine|(+)-Pseudoephedrine|d-Isoephedrine|Psi-ephedrin|Psi-ephedrine|d-psi-Ephedrine|L(+)-psi-Ephedrine|(+)-threo-Ephedrine|(+)-psi-Ephedrine|L-(+)-Pseudoephedrine|Pseudoephedrine d-form|(+)-(1S,2S)-Pseudoephedrine|d-psi-2-Methylamino-1-phenyl-1-propanol|DB00852|(+) threo-2-(methylamino)-1-phenyl-1-propanol",20200307,20080117,Curation Efforts|Research and Development,NULL
46508191,445354,DrugBank,DB00162,"retinol|Vitamin A|all-trans-Retinol|Vitamin A1|all-trans-Retinyl alcohol|all-trans-Vitamin A alcohol|DB00162|(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol",20200307,20080117,Curation Efforts|Research and Development,NULL
46508192,,DrugBank,DB04932,Defibrotide|Defibrotide free acid|Defibrotide free acid (porcine)|Defibrotide free acid (porcine mucosa)|DB04932,20200307,20080117,Curation Efforts|Research and Development,NULL
46508193,996,DrugBank,DB03255,phenol|carbolic acid|Hydroxybenzene|Oxybenzene|Phenic acid|Phenylic acid|Benzenol|Phenylic alcohol|Phenyl hydroxide|PhOH|Phenyl alcohol|Monohydroxybenzene|DB03255,20200307,20080117,Curation Efforts|Research and Development,NULL
46508195,8076,DrugBank,DB02249,2-Ethoxyethanol|DB02249,20200307,20080117,Curation Efforts|Research and Development,NULL
46508196,444552,DrugBank,DB03981,"DB03981|1,4-DIDEOXY-5-DEHYDRO-O2-SULFO-GLUCURONIC ACID",20200307,20080117,Curation Efforts|Research and Development,NULL
46508197,135398742,DrugBank,DB00577,"Valaciclovir|L-Valine ester with 9-((2-hydroxyethoxy)methyl)guanine|DB00577|L-Valine, 2-((2-amino-1,6-dihydro-6-oxo-9H-purin-9-yl)methoxy)ethyl ester",20200307,20080117,Curation Efforts|Research and Development,NULL
46508198,5284373,DrugBank,DB00091,cyclosporin A|cyclosporine|Ciclosporin|Cyclosporin|DB00091|CSA|CYA,20200307,20080117,Curation Efforts|Research and Development,NULL
46508199,7249,DrugBank,DB04052,"3,4-DIMETHYLPHENOL|3,4-Xylenol|4,5-Dimethylphenol|1,3,4-Xylenol|1-Hydroxy-3,4-dimethylbenzene|3,4-DMP|DB04052",20200307,20080117,Curation Efforts|Research and Development,NULL
46508200,71077,DrugBank,DB03929,D-serine|DB03929,20200307,20080117,Curation Efforts|Research and Development,NULL
46508201,6338574,DrugBank,DB02453,antimonous acid|stiborous acid|TRIHYDROXYANTIMONITE(III)|DB02453,20200307,20080117,Curation Efforts|Research and Development,NULL
46508202,3396,DrugBank,DB04842,Fluspirilene|DB04842,20210728,20080117,Curation Efforts|Research and Development,NULL
46508203,178518,DrugBank,DB01925,"2'-CHLORO-BIPHENYL-2,3-DIOL|DB01925",20200307,20080117,Curation Efforts|Research and Development,NULL
46508204,6323266,DrugBank,DB02631,"DB02631|5-Chloro-6-{[(2E)-2-imino-1-pyrrolidinyl]methyl}-2,4(1H,3H)-pyrimidinedione",20171103,20080117,Curation Efforts|Research and Development,NULL
46508205,6077,DrugBank,DB01614,ACEPROMAZINE|Acetylpromazine|Acetopromazine|Acetazine|10-(3-Dimethylaminopropyl)phenothiazine-3-ethylone|10-(3-Dimethylaminopropyl)phenothiazin-3-yl methyl ketone|DB01614|1-[10-(3-DIMETHYLAMINO-PROPYL)-10H-PHENOTHIAZIN-2-YL]-ETHANONE,20200307,20080117,Curation Efforts|Research and Development,NULL
46508206,440711,DrugBank,DB04704,20-hydroxycholesterol|DB04704,20200307,20080117,Curation Efforts|Research and Development,NULL
46508207,4369496,DrugBank,DB04739,DB04739|4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE,20210728,20080117,Curation Efforts|Research and Development,NULL
46508208,477468,DrugBank,DB01141,Micafungin|DB01141,20200307,20080117,Curation Efforts|Research and Development,NULL
46508209,49867291,DrugBank,DB03698,DB03698|5-MERCAPTOETHANOL-2-DECENOYL-COENZYME A,20200307,20080117,Curation Efforts|Research and Development,NULL
46508210,5359,DrugBank,DB00870,suprofen|Sutoprofen|p-2-Thenoylhydratropic acid|alpha-Methyl-4-(2-thienylcarbonyl)benzeneacetic acid|DB00870|2-[4-(Thiophene-2-carbonyl)-phenyl]-propionic acid|(+/-)-2-(p-(2-thenoyl)phenyl)propionic acid,20200307,20080117,Curation Efforts|Research and Development,NULL
46508211,447688,DrugBank,DB03472,CYCLOHEXYL-HEXYL-BETA-D-MALTOSIDE|DB03472,20200307,20080117,Curation Efforts|Research and Development,NULL
46508212,445935,DrugBank,DB03142,alpha-L-Arabinose|DB03142,20200307,20080117,Curation Efforts|Research and Development,NULL
46508213,5288781,DrugBank,DB04363,MESOBILIVERDIN IV ALPHA|DB04363,20200307,20080117,Curation Efforts|Research and Development,NULL
46508216,439398,DrugBank,DB03997,l-histidinol phosphate|DB03997|PHOSPHORIC ACID MONO-[2-AMINO-3-(3H-IMIDAZOL-4-YL)-PROPYL]ESTER,20200307,20080117,Curation Efforts|Research and Development,NULL
46508217,5282054,DrugBank,DB01034,"cerulenin|DB01034|(2R,3S)-3-((4E,7E)-nona-4,7-dienoyl)oxirane-2-carboxamide|(2R,3S)-3-((4E,7E)-Nona-4,7-dienoyl)-oxirane-2-carboxylic acid amide",20200307,20080117,Curation Efforts|Research and Development,NULL
46508218,6862,DrugBank,DB01750,1-Naphthylacetic acid|1-NAPHTHALENEACETIC ACID|Naphthalene-1-acetic acid|alpha-NAA|alpha-Naphthaleneacetic acid|NAPHTHALEN-1-YL-ACETIC ACID|NAA|DB01750,20200307,20080117,Curation Efforts|Research and Development,NULL
46508219,750,DrugBank,DB00145,glycine|aminoacetic acid|Glycocoll|Aminoethanoic acid|gly|DB00145,20200307,20080117,Curation Efforts|Research and Development,NULL
46508220,4369270,DrugBank,DB04177,Digitoxigenin|Cerberigenin|Thevetigenin|Echujetin|Evonogenin|DB04177,20200307,20080117,Curation Efforts|Research and Development,NULL
46508221,446337,DrugBank,DB01874,Tropinone|DB01874,20200307,20080117,Curation Efforts|Research and Development,NULL
46508222,4908,DrugBank,DB01087,PRIMAQUINE|Primachin|Primaquin|8-(4-Amino-1-methylbutylamino)-6-methoxyquinoline|6-Methoxy-8-(4-amino-1-methylbutylamino)quinoline|8-((4-Amino-1-methylbutyl)amino)-6-methoxyquinoline|DB01087,20200307,20080117,Curation Efforts|Research and Development,NULL
46508223,53232,DrugBank,DB00227,"lovastatin|mevinolin|6alpha-Methylcompactin|6-alpha-Methylcompactin|DB00227|2beta,6alpha-Dimethyl-8alpha-(2-methyl-1-oxobutoxy)-mevinic acid lactone|(1S,3R,7S,8S,8aR)-1,2,3,7,8,8a-Hexahydro-3,7-dimethyl-8-(2-(2R,4R)-(tetrahydro-4-hydroxy-6-oxo-2H-pyran-2-yl)ethyl)-1-naphthalenyl (S)-2-methyl-butyrate",20200307,20080117,Curation Efforts|Research and Development,NULL
46508224,5287684,DrugBank,DB04108,"DB04108|(2S,3R)-3-AMINO-2-HYDROXY-5-(ETHYLSULFANYL)PENTANOYL-((S)-(-)-(1-NAPHTHYL)ETHYL)AMIDE",20200307,20080117,Curation Efforts|Research and Development,NULL
46508225,2374,DrugBank,DB04638,"2,5-Di-tert-butylhydroquinone|2,5-Di-tert-butylbenzene-1,4-diol|DB04638",20200307,20080117,Curation Efforts|Research and Development,NULL
46508226,3114,DrugBank,DB00280,disopyramide|DB00280,20210728,20080117,Curation Efforts|Research and Development,NULL
46508227,249,DrugBank,DB04401,betaine aldehyde|glycine betaine aldehyde|DB04401,20200307,20080117,Curation Efforts|Research and Development,NULL
46508228,36143,DrugBank,DB04291,OXFENICINE|L-4-Hydroxyphenylglycine|L-2-(p-Hydroxyphenyl)glycine|(2s)-Amino(4-Hydroxyphenyl)Acetic Acid|(s)-(4-hydroxyphenyl)glycine|DB04291,20210728,20080117,Curation Efforts|Research and Development,NULL
46508229,105039,DrugBank,DB01566,"Methylenedioxyethamphetamine|N-Ethyl MDA|3,4-Methylenedioxy-N-ethylamphetamine|(+/-)-MDE|DB01566|MDE",20200307,20080117,Curation Efforts|Research and Development,NULL
46508230,15480320,DrugBank,DB03513,"DB03513|(S)-2-Amino-3-(4h-Selenolo[3,2-B]-Pyrrol-6-Yl)-Propionic Acid",20200307,20080117,Curation Efforts|Research and Development,NULL
46508231,445211,DrugBank,DB02765,"9-HYDROXYPROPYLADENINE, R-ISOMER|R-9-(2-hydroxypropyl)adenine|DB02765",20200307,20080117,Curation Efforts|Research and Development,NULL
46508232,4627204,DrugBank,DB01929,"5-CHLORYL-2,4,6-QUINAZOLINETRIAMINE|DB01929",20200307,20080117,Curation Efforts|Research and Development,NULL
46508233,135398687,DrugBank,DB04400,"dihydrobiopterin|Quinonoid dihydrobiopterin|q-BH2|L-erythro-q-dihydrobiopterin|L-erythro-7,8-Dihydrobiopterin|DB04400",20200307,20080117,Curation Efforts|Research and Development,NULL
46508234,5997,DrugBank,DB04540,"cholesterol|Cholesterin|Cholest-5-en-3beta-ol|(3beta,14beta,17alpha)-cholest-5-en-3-ol|DB04540",20200307,20080117,Curation Efforts|Research and Development,NULL
46508235,135398727,DrugBank,DB03315,3'-GUANYLIC ACID|guanylic acid|guanosine 3'-phosphate|Guanosine 3'-monophosphate|GUANOSINE-3'-MONOPHOSPHATE|3'-GMP|DB03315,20200307,20080117,Curation Efforts|Research and Development,NULL
46508237,16131215,DrugBank,DB00106,Abarelix|DB00106,20210728,20080117,Curation Efforts|Research and Development,NULL
46508238,131704245,DrugBank,DB03425,"2S,4R-4-Methylglutamate|DB03425",20200307,20080117,Curation Efforts|Research and Development,NULL
46508239,447568,DrugBank,DB04127,beta-D-arabinofuranose 5-phosphate|5-O-phosphono-beta-D-arabinofuranose|DB04127,20200307,20080117,Curation Efforts|Research and Development,NULL
46508240,35370,DrugBank,DB00495,zidovudine|Azidothymidine|Zidovudina|AZT|DB00495|ZDV,20200307,20080117,Curation Efforts|Research and Development,NULL
46508241,641237,DrugBank,DB03335,(+)-1-bromo-2-propanol|(S)-(+)-1-Bromo-2-propanol|DB03335,20200307,20080117,Curation Efforts|Research and Development,NULL
46508242,10214,DrugBank,DB02902,PAPS|3'-Phosphoadenylyl sulfate|3'-Phosphoadenosine 5'-phosphosulfate|3'-Phospho-5'-adenylyl sulfate|DB02902,20200307,20080117,Curation Efforts|Research and Development,NULL
46508243,60198,DrugBank,DB00990,"EXEMESTANE|6-Methyleneandrosta-1,4-diene-3,17-dione|DB00990",20200307,20080117,Curation Efforts|Research and Development,NULL
46508244,445025,DrugBank,DB01715,"7,8-DIAMINO-NONANOIC ACID|DB01715",20200307,20080117,Curation Efforts|Research and Development,NULL
46508245,8612,DrugBank,DB01161,CHLOROPROCAINE|Chloroprocain|Chlorprocaine|2-Chloroprocaine|DB01161|4-amino-2-chlorobenzoic acid 2-(diethylamino)ethyl ester,20200307,20080117,Curation Efforts|Research and Development,NULL
46508246,,DrugBank,DB00102,"Becaplermin|rhPDGF-BB|PDGFB|rPDGF-BB|PDGF-BB|SH-POLYPEPTIDE-59|PDGF-2|DB00102|Recombinant platelet-derived growth factor BB|Platelet-derived growth factor BB, recombinant|Platelet-derived growth factor beta polypeptide",20200307,20080117,Curation Efforts|Research and Development,NULL
46508247,5287540,DrugBank,DB01640,"DB01640|6-(4-{[2-(3-IODOBENZYL)-3-OXOCYCLOHEX-1-EN-1-YL]AMINO}PHENYL)-5-METHYL-4,5-DIHYDROPYRIDAZIN-3(2H)-ONE|(4R)-3-[4-[[2-[(3-iodophenyl)methyl]-3-oxocyclohexen-1-yl]amino]phenyl]-4-methyl-4,5-dihydro-1H-pyridazin-6-one",20210728,20080117,Curation Efforts|Research and Development,NULL
46508248,9811704,DrugBank,DB00284,acarbose|DB00284,20200307,20080117,Curation Efforts|Research and Development,NULL
46508249,439655,DrugBank,DB01694,"d-Tartaric acid|D-(-)-Tartaric acid|D-threaric acid|(-)-Tartaric acid|(-)-D-Tartaric acid|(S,S)-Tartaric acid|(2S,3S)-Tartaric acid|(2S,3S)-(-)-Tartaric acid|(S,S)-(-)-Tartaric acid|(-)-(S,S)-Tartaric acid|DB01694",20200307,20080117,Curation Efforts|Research and Development,NULL
46508250,2429,DrugBank,DB04007,BROMO-WR99210|DB04007,20210728,20080117,Curation Efforts|Research and Development,NULL
46508251,5289333,DrugBank,DB04369,"1,3,2-DIOXABOROLAN-2-OL|DB04369",20200307,20080117,Curation Efforts|Research and Development,NULL
46508252,2265,DrugBank,DB00993,azathioprine|6-((1-Methyl-4-nitro-1H-imidazol-5-yl)thio)-1H-purine|6-(1'-Methyl-4'-nitro-5'-imidazolyl)-mercaptopurine|DB00993,20200307,20080117,Curation Efforts|Research and Development,NULL
46508253,2725,DrugBank,DB01114,"chlorpheniramine|Chlorphenamine|Chlorophenylpyridamine|Chlorpheniramine polistirex|1-(p-Chlorophenyl)-1-(2-pyridyl)-3-dimethylaminopropane|3-(p-Chlorophenyl)-3-(2-pyridyl)-N,N-dimethylpropylamine|DB01114|gamma-(4-Chlorophenyl)-N,N-dimethyl-2-pyridinepropanamine|gamma-(4-Chlorophenyl)-gamma-(2-pyridyl)propyldimethylamine|1-(p-Chlorophenyl)-1-(2-pyridyl)-3-N,N-dimethylpropylamine|2-[p-chloro-alpha-[2-(dimethylamino)ethyl]benzyl]pyridine",20210728,20080117,Curation Efforts|Research and Development,NULL
46508254,448828,DrugBank,DB01922,"DB01922|MALTOSYL-ALPHA (1,4)-D-GLUCONHYDROXIMO-1,5-LACTAM",20200307,20080117,Curation Efforts|Research and Development,NULL
46508255,135815451,DrugBank,DB03182,DB03182|alpha-fluoro-carboxymethyldethia coenzyme a complex,20200307,20080117,Curation Efforts|Research and Development,NULL
46508257,92199,DrugBank,DB03148,"Adenosine 5'-methylenediphosphate|phosphomethylphosphonic acid adenosyl ester|Adenosine, 5'-(trihydrogen methylenebis(phosphonate))|Adenosine 5'-(hydrogen (phosphonomethyl)phosphonate)|DB03148",20200307,20080117,Curation Efforts|Research and Development,NULL
46508258,5288101,DrugBank,DB02217,DPB-T|DB02217,20210728,20080117,Curation Efforts|Research and Development,NULL
46508259,447484,DrugBank,DB02366,CRA_10762|DB02366,20210728,20080117,Curation Efforts|Research and Development,NULL
46508260,1549107,DrugBank,DB02509,farnesol|DB02509,20200307,20080117,Curation Efforts|Research and Development,NULL
46508261,17753880,DrugBank,DB03963,S-(Dimethylarsenic)Cysteine|DB03963,20200307,20080117,Curation Efforts|Research and Development,NULL
46508262,447336,DrugBank,DB03577,ALPHA-BENZYL-AMINOBENZYL-PHOSPHONIC ACID|DB03577,20200307,20080117,Curation Efforts|Research and Development,NULL
46508263,62867,DrugBank,DB01621,Pipotiazine|Pipothiazine|Piportil|DB01621,20200307,20080117,Curation Efforts|Research and Development,NULL
46508264,3463,DrugBank,DB01241,"gemfibrozil|2,2-Dimethyl-5-(2,5-xylyloxy)valeric acid|DB01241",20200307,20080117,Curation Efforts|Research and Development,NULL
46508266,444306,DrugBank,DB02570,pd150606|DB02570,20210728,20080117,Curation Efforts|Research and Development,NULL
46508267,5719,DrugBank,DB00962,"zaleplon|DB00962|3'-(3-Cyanopyrazolo(1,5-a)pyrimidin-7-yl)-N-ethylacetanilide",20200307,20080117,Curation Efforts|Research and Development,NULL
46508268,447329,DrugBank,DB03372,"DB03372|3-MERCAPTO-1-(1,3,4,9-TETRAHYDRO-B-CARBOLIN-2-YL)-PROPAN-1-ONE",20200307,20080117,Curation Efforts|Research and Development,NULL
46508269,2910,DrugBank,DB00606,"cyclothiazide|DB00606|6-Chloro-3,4-dihydro-3-(5-norbornen-2-yl)-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide|6-Chloro-3-(2-norbornen-5-yl)-7-sulfamyl-3,4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide|6-Chloro-3,4-dihydro-3-(2-norbornen-5-yl)-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide|6-Chloro-3,4-dihydro-3-(2-norbornen-5-yl)-7-sulfamoyl-1,2,4-benzothiadiazine 1,1-dioxide",20200307,20080117,Curation Efforts|Research and Development,NULL
46508270,49866494,DrugBank,DB01824,"DB01824|(3S)-Tetrahydro-3-furanyl {(2S,3S)-4-[(2S,4R)-4-{(1S,2R)-2-[(S)-amino(hydroxy)methoxy]-2,3-dihydro-1H-inden-1-yl}-2-benzyl-3-oxo-2-pyrrolidinyl]-3-hydroxy-1-phenyl-2-butanyl}carbamate",20210728,20080117,Curation Efforts|Research and Development,NULL
46508271,37851,DrugBank,DB01803,2-(TRIMETHYLAMMONIUM)ETHYL THIOL|DB01803,20200307,20080117,Curation Efforts|Research and Development,NULL
46508272,21158881,DrugBank,DB04778,SC45647|DB04778,20210728,20080117,Curation Efforts|Research and Development,NULL
46508273,6675,DrugBank,DB04348,TAUROCHOLIC ACID|DB04348,20200307,20080117,Curation Efforts|Research and Development,NULL
